"SÜRE","TEDARİKÇİ","NO","KARIŞIM ORANI","EN","PARÇA GRAMAJ","PARÇA NEMİ (%)","ISI ÇEKME EN","ISI ÇEKME BOY","GENEL EN","GENEL  BOY","ORTAM SICAKLIK","ORTAM NEM","ZAMAN"
"24 saat sonra ","TAB","30/1","100%","180","174","3","50.2","50","49.8","49.5","21.5","38.5","25-10-22/09:00:10 "
"26 saat sonra ","TAB","30/1","100%","179.8","175","3","50","50","49.8","49.4","22.2","35.1","25-10-22/11:00:10 "
"28 saat sonra ","TAB","30/1","100%","179.5","171","3","50.6","50","49.7","49.4","22.2","34.3","25-10-22/13:00:10 "
"30 saat sonra ","TAB","30/1","100%","179.2","169","3","50.5","50.1","49.7","49.4","22.9","28.3","25-10-22/15:00:10 "
"32 saat sonra ","TAB","30/1","100%","179.1","173","3","50.4","50","49.7","49.4","23.4","30.7","25-10-22/17:00:10 "
"48 saat sonra ","TAB","30/1","100%","179","168","3","50.3","50","49.7","49.4","21.8","37.3","26-10-22/09:00:10 "
"50 saat sonra ","TAB","30/1","100%","179","175","3","50.5","50.1","49.7","49.4","22.6","38.8","26-10-22/11:00:10 "
"52 saat sonra ","TAB","30/1","100%","178.8","174","3","50","50","49.7","49.4","22.6","32.7","26-10-22/13:00:10 "
"54 saat sonra ","TAB","30/1","100%","178.8","167","3","50.5","50","49.7","49.4","23.5","29.4","26-10-22/15:00:10 "
"56 saat sonra ","TAB","30/1","100%","178.8","169","3","50.2","50","49.7","49.4","23.8","30.2","26-10-22/17:00:10 "
"72 saat sonra ","TAB","30/1","100%","178.8","175","3","50.8","50","49.7","49.4","22.8","44.0","27-10-22/09:00:10 "
"Başlangıç","RA","30/1","100%","175","150","2","50.5","50.1","50","50","21.8","33.2","31-10-22/09:00:10 "
"2 saat sonra ","RA","30/1","100%","175.1","149","2","50.1","49.9","50","50","24.2","31.4","31-10-22/11:02:07 "
"4 saat sonra ","RA","30/1","100%","175.1","149","2","50.4","50","50","50","22.0","34.3","31-10-22/13:02:07 "
"6 saat sonra ","RA","30/1","100%","175.2","153","2","50.3","50","50","50","22.1","33.7","31-10-22/15:02:07 "
"8 saat sonra ","RA","30/1","100%","175.3","153","2","49.9","48.5","50","50","22.3","39.8","31-10-22/17:02:07 "
"24 saat sonra ","RA","30/1","100%","175.6","151","2","50.2","49","50","50","21.7","34.5","01-11-22/09:02:07 "
"26 saat sonra ","RA","30/1","100%","175.6","151","2","50.2","48.9","50","50","22.1","34.1","01-11-22/11:02:07 "
"28 saat sonra ","RA","30/1","100%","175.7","154","2","50.2","48.5","50","50","21.4","35.6","01-11-22/13:02:07 "
"30 saat sonra ","RA","30/1","100%","175.7","149","2","50.4","49","50","50","22.3","33.6","01-11-22/15:02:07 "
"32 saat sonra ","RA","30/1","100%","175.7","152","2","50.5","48.7","50","50","22.7","35.1","01-11-22/17:02:07 "
"48 saat sonra ","RA","30/1","100%","175.8","153","2","50","49.2","50","50","21.3","31.6","02-11-22/09:02:07 "
"50 saat sonra ","RA","30/1","100%","175.9","153","2","49.9","48.9","50","50","20.8","31.8","02-11-22/11:02:07 "
"52 saat sonra ","RA","30/1","100%","175.9","151","2","50.7","48.9","50","50","21.4","31.2","02-11-22/13:02:07 "
"54 saat sonra ","RA","30/1","100%","175.9","154","2","50.5","48.3","50","50","22.7","25.9","02-11-22/15:02:07 "
"56 saat sonra ","RA","30/1","100%","175.9","150","2","50.1","48.8","50","50","22.2","29.9","02-11-22/17:02:07 "
"72 saat sonra ","RA","30/1","100%","176.1","152","2","49.8","48.5","50","50","21.8","34.1","03-11-22/09:02:07 "
"Başlangıç","RA","30/1","100%","175.8","156","2","49","50","50","50","21.5","49.8","07-11-22/09:00:03 "
"2 saat sonra ","RA","30/1","100%","176","161","2","49.5","49.9","50","49.9","22.0","46.8","07-11-22/11:00:03 "
"4 saat sonra ","RA","30/1","100%","176","161","2","49.2","49.8","50","49.8","21.3","45.6","07-11-22/13:00:03 "
"6 saat sonra ","RA","30/1","100%","176.4","162","2","49.4","49.7","50.1","49.8","21.6","47.2","07-11-22/15:00:03 "
"8 saat sonra ","RA","30/1","100%","176.5","160","2","49.5","49.9","50.1","49.8","22.6","45.6","07-11-22/17:00:03 "
"24 saat sonra ","RA","30/1","100%","176.6","155","3","49.4","49.8","50.2","49.7","21.2","44.3","08-11-22/09:00:03 "
"26 saat sonra ","RA","30/1","100%","176.6","159","3","49","50","50.2","49.7","20.9","44.0","08-11-22/11:00:03 "
"28 saat sonra ","RA","30/1","100%","176.6","164","3","49.1","49.9","50.2","49.7","20.4","42.0","08-11-22/13:00:03 "
"30 saat sonra ","RA","30/1","100%","176.6","158","3","49.3","49.9","50.3","49.7","21.4","35.5","08-11-22/15:00:03 "
"32 saat sonra ","RA","30/1","100%","176.7","156","3","49.2","50","50.3","49.7","21.3","31.6","08-11-22/17:00:03 "
"48 saat sonra ","RA","30/1","100%","176.9","157","3","49.5","49.9","50.4","49.5","21.2","31.4","09-11-22/09:00:03 "
"50 saat sonra ","RA","30/1","100%","176.9","162","3","49.1","50","50.5","49.5","21.0","33.1","09-11-22/11:00:03 "
"52 saat sonra ","RA","30/1","100%","176.9","161","3","49.2","49.8","50.5","49.4","20.8","31.3","09-11-22/13:00:03 "
"54 saat sonra ","RA","30/1","100%","176.9","157","3","49.3","49.9","50.5","49.4","21.7","30.0","09-11-22/15:00:03 "
"56 saat sonra ","RA","30/1","100%","176.9","165","3","49.8","50","50.5","49.4","21.8","32.5","09-11-22/17:00:03 "
"72 saat sonra ","RA","30/1","100%","177","158","3","49.4","49.9","50.5","49.3","19.9","34.8","10-11-22/09:00:03 "
"Başlangıç","RA","30/1","100%","174.7","158","2","49.9","49.7","50","50","22.2","47.4","22-11-22/09:00:51 "
"2 saat sonra ","RA","30/1","100%","174.7","156","2","50","49.5","50","49.9","22.6","48.9","22-11-22/11:00:51 "
"4 saat sonra ","RA","30/1","100%","174.9","159","3","50","49.7","50","49.9","22.9","46.4","22-11-22/13:00:51 "
"6 saat sonra ","RA","30/1","100%","174.9","157","3","50","49.5","50","49.9","23.3","44.1","22-11-22/15:00:51 "
"8 saat sonra ","RA","30/1","100%","174.9","160","3","50","49.6","50","49.9","23.3","40.0","22-11-22/17:00:51 "
"24 saat sonra ","RA","30/1","100%","175","155","4","50","49.5","50","49.6","22.4","42.0","23-11-22/09:00:51 "
"26 saat sonra ","RA","30/1","100%","175","156","4","49.9","49.6","50","49.6","22.9","46.0","23-11-22/11:00:51 "
"28 saat sonra ","RA","30/1","100%","175","158","4","49.8","49.7","50","49.6","21.6","55.5","23-11-22/13:00:51 "
"30 saat sonra ","RA","30/1","100%","175.1","157","4","50","49.4","50","49.6","22.7","50.7","23-11-22/15:00:51 "
"32 saat sonra ","RA","30/1","100%","175.1","159","4","50","49.5","50","49.6","22.9","56.3","23-11-22/17:00:51 "
"48 saat sonra ","RA","30/1","100%","175.1","160","4","49.9","49.4","50","49.6","22.7","48.8","24-11-22/09:00:51 "
"50 saat sonra ","RA","30/1","100%","175.2","158","4","50","49.5","50","49.6","22.8","49.4","24-11-22/11:00:51 "
"52 saat sonra ","RA","30/1","100%","175.3","162","4","49.9","49.1","50","49.6","22.8","48.4","24-11-22/13:00:51 "
"54 saat sonra ","RA","30/1","100%","175.3","165","4","49.9","49.8","50","49.6","22.9","49.3","24-11-22/15:00:51 "
"56 saat sonra ","RA","30/1","100%","175.3","155","4","50","49.7","50","49.6","22.9","49.4","24-11-22/17:00:51 "
"72 saat sonra ","RA","30/1","100%","175.5","160","4","50","49.6","50","49.5","21.0","48.5","25-11-22/09:00:51 "
"Başlangıç","RA","30/1","100%","175.8","146","2","49.8","49.8","50","50","19.5","45.4","28-11-22/09:00:13 "
"2 saat sonra ","RA","30/1","100%","176","146","2","50.2","49.6","50.2","49.9","19.6","47.3","28-11-22/11:00:13 "
"4 saat sonra ","RA","30/1","100%","176.1","146","2","50.4","49.8","50.3","49.8","22.2","46.5","28-11-22/13:00:13 "
"6 saat sonra ","RA","30/1","100%","176.2","147","2","50.2","49.5","50.3","49.8","19.9","52.6","28-11-22/15:00:13 "
"8 saat sonra ","RA","30/1","100%","176.4","149","2","50.3","49.6","50.3","49.8","19.9","52.7","28-11-22/17:00:13 "
"24 saat sonra ","RA","30/1","100%","176.6","146","2","50.1","49.9","50.5","49.6","19.4","52.7","29-11-22/09:00:13 "
"26 saat sonra ","RA","30/1","100%","176.7","147","2","49.7","49.4","50.5","49.5","19.4","55.3","29-11-22/11:00:13 "
"28 saat sonra ","RA","30/1","100%","176.7","147","2","49.9","49.4","50.5","49.4","18.8","53.1","29-11-22/13:00:13 "
"30 saat sonra ","RA","30/1","100%","176.8","147","2","49.8","49.5","50.6","49.4","19.5","50.3","29-11-22/15:00:13 "
"32 saat sonra ","RA","30/1","100%","176.9","148","2","50.4","49.4","50.6","49.4","19.2","52.3","29-11-22/17:00:13 "
"48 saat sonra ","RA","30/1","100%","177","148","2","50.2","49.6","50.8","49.2","18.6","50.2","30-11-22/09:00:13 "
"50 saat sonra ","RA","30/1","100%","177","148","2","49.8","49.4","50.8","49.2","19.3","52.3","30-11-22/11:00:13 "
"52 saat sonra ","RA","30/1","100%","177","147","2","50.5","49.7","50.8","49.2","20.3","52.8","30-11-22/13:00:13 "
"54 saat sonra ","RA","30/1","100%","177","148","2","50.3","49.8","50.9","49.2","20.0","55.1","30-11-22/15:00:13 "
"56 saat sonra ","RA","30/1","100%","177.1","149","2","49.9","49.7","50.9","49.2","20.5","54.8","30-11-22/17:00:13 "
"72 saat sonra ","RA","30/1","100%","177.2","150","2","50","49.8","51.1","49.2","20.2","54.1","01-12-22/09:00:13 "
"Başlangıç","RA","30/1","100%","175.3","154","5","50","50.2","50","50","20.2","50.6","19-12-22/09:00:10 "
"2 saat sonra ","RA","30/1","100%","175.8","155","6","50","49.4","50.1","49.9","20.3","45.4","19-12-22/11:00:10 "
"4 saat sonra ","RA","30/1","100%","176","155","6","49.9","49.6","50.1","49.9","20.0","43.7","19-12-22/13:00:10 "
"6 saat sonra ","RA","30/1","100%","176","155","4","50","49.5","50.2","49.9","20.3","41.3","19-12-22/15:00:10 "
"8 saat sonra ","RA","30/1","100%","176","155","4","50","49.4","50.2","49.9","19.8","40.5","19-12-22/17:00:10 "
"24 saat sonra ","RA","30/1","100%","176.2","155","2","50.1","49.7","50.5","49.9","17.9","31.3","20-12-22/09:00:10 "
"26 saat sonra ","RA","30/1","100%","176.2","156","2","49.9","50.1","50.5","49.9","18.5","30.4","20-12-22/11:00:10 "
"28 saat sonra ","RA","30/1","100%","176.3","156","2","50","50.2","50.7","49.9","18.3","30.3","20-12-22/13:00:10 "
"30 saat sonra ","RA","30/1","100%","176.4","157","1","50","50.1","50.7","49.9","19.0","30.0","20-12-22/15:00:10 "
"32 saat sonra ","RA","30/1","100%","176.4","158","1","49.9","49.6","50.7","49.9","18.8","30.3","20-12-22/17:00:10 "
"48 saat sonra ","RA","30/1","100%","176.5","158","0","50","49.5","50.8","49.9","18.2","24.4","21-12-22/09:00:10 "
"50 saat sonra ","RA","30/1","100%","176.5","158","0","50","49.6","50.8","49.9","18.2","24.2","21-12-22/11:00:10 "
"52 saat sonra ","RA","30/1","100%","176.5","159","0","50","50.1","50.8","49.9","18.0","23.1","21-12-22/13:00:10 "
"54 saat sonra ","RA","30/1","100%","176.5","159","0","49.9","49.5","50.8","49.9","19.4","23.9","21-12-22/15:00:10 "
"56 saat sonra ","RA","30/1","100%","176.5","159","0","49.9","49.4","50.8","49.9","19.4","25.0","21-12-22/17:00:10 "
"72 saat sonra ","RA","30/1","100%","176.5","160","0","50","49.5","50.8","49.9","18.6","29.0","22-12-22/09:00:10 "
"Başlangıç","RA","30/1","100%","176.6","149","0","49.6","49.2","50","50","17.7","34.2","02-01-23/09:04:23 "
"2 saat sonra ","RA","30/1","100%","176.8","150","0","49.8","49.2","50.3","49.7","17.9","38.3","02-01-23/11:04:23 "
"4 saat sonra ","RA","30/1","100%","176.8","150","0","49.7","49.3","50.4","49.5","17.5","41.6","02-01-23/13:04:23 "
"6 saat sonra ","RA","30/1","100%","176.7","150","0","49.6","49.4","50.5","49.5","18.2","37.1","02-01-23/15:04:23 "
"8 saat sonra ","RA","30/1","100%","176.7","148","0","49.8","49.2","50.7","49.5","18.6","45.7","02-01-23/17:04:23 "
"24 saat sonra ","RA","30/1","100%","176.2","150","0","49.7","49.2","50.9","49.3","17.0","33.3","03-01-23/09:04:23 "
"26 saat sonra ","RA","30/1","100%","176.2","153","0","49.8","49.3","51","49.3","17.8","39.7","03-01-23/11:04:23 "
"28 saat sonra ","RA","30/1","100%","176.1","152","0","49.6","49.4","51","49.2","18.5","40.5","03-01-23/13:04:23 "
"30 saat sonra ","RA","30/1","100%","176.1","151","0","49.7","49.3","51","49.2","19.0","35.2","03-01-23/15:04:23 "
"32 saat sonra ","RA","30/1","100%","176.1","151","0","49.8","49.1","51","49.2","18.7","38.0","03-01-23/17:04:23 "
"48 saat sonra ","RA","30/1","100%","175.9","153","0","49.8","49.2","51.1","49","18.1","30.7","04-01-23/09:04:23 "
"50 saat sonra ","RA","30/1","100%","175.7","150","0","49.6","49.3","51.1","48.9","19.0","36.0","04-01-23/11:04:23 "
"52 saat sonra ","RA","30/1","100%","175.5","155","0","49.7","49.4","51.1","48.9","18.7","33.4","04-01-23/13:04:23 "
"54 saat sonra ","RA","30/1","100%","175.5","156","0","49.9","49.1","51.1","48.9","18.3","33.1","04-01-23/15:04:23 "
"56 saat sonra ","RA","30/1","100%","175.5","156","0","49.7","49.2","51.1","48.9","18.6","39.5","04-01-23/17:04:23 "
"72 saat sonra ","RA","30/1","100%","175.4","153","0","49.6","49.2","51.1","48.9","19.2","41.3","05-01-23/09:04:23 "
"Başlangıç","RA","30/1","100%","176","153","0","49.1","50.1","50","50","14.2","42.9","16-01-23/09:00:15 "
"2 saat sonra ","RA","30/1","100%","176.1","154","2","48.5","50.5","50","50","17.5","43.1","16-01-23/11:00:15 "
"4 saat sonra ","RA","30/1","100%","176","154","2","49.5","50","50","50.1","18.6","45.3","16-01-23/13:00:15 "
"6 saat sonra ","RA","30/1","100%","175.8","154","3","49.1","50.2","50","50.1","18.6","48.4","16-01-23/15:00:15 "
"8 saat sonra ","RA","30/1","100%","175.8","155","3","48.7","50.4","50","50.1","18.5","48.8","16-01-23/17:00:15 "
"24 saat sonra ","RA","30/1","100%","175.3","155","4","49.4","50.2","49.9","50.2","17.3","57.5","17-01-23/09:00:15 "
"26 saat sonra ","RA","30/1","100%","175.2","156","4","48.9","50","49.9","50.2","17.6","59.8","17-01-23/11:00:15 "
"28 saat sonra ","RA","30/1","100%","175.2","156","4","48.5","50.7","50","50.2","17.5","62.3","17-01-23/13:00:15 "
"30 saat sonra ","RA","30/1","100%","175.2","156","4","49.2","50.1","50","50.2","17.9","57.2","17-01-23/15:00:15 "
"32 saat sonra ","RA","30/1","100%","175.2","157","4","49","50.5","50","50.2","17.5","58.6","17-01-23/17:00:15 "
"48 saat sonra ","RA","30/1","100%","174.7","157","4","48.4","50.7","50","50.2","17.7","58.6","18-01-23/09:00:15 "
"50 saat sonra ","RA","30/1","100%","174.5","157","4","49.3","50.2","50","50.2","18.4","58.9","18-01-23/11:00:15 "
"52 saat sonra ","RA","30/1","100%","174.4","157","4","48.7","50.3","50","50.2","19.4","54.2","18-01-23/13:00:15 "
"54 saat sonra ","RA","30/1","100%","174.4","158","4","48.9","50.2","50","50.2","20.0","51.6","18-01-23/15:00:15 "
"56 saat sonra ","RA","30/1","100%","174.4","158","4","49.1","50.1","50","50.2","19.4","53.5","18-01-23/17:00:15 "
"72 saat sonra ","RA","30/1","100%","174.3","159","4","48.8","50.4","50","50.2","18.3","52.1","19-01-23/09:00:15 "
"Başlangıç","RA","30/1","100%","176","153","0","49.1","50.1","50","50","14.2","42.9","16-01-23/09:00:15 "
"2 saat sonra ","RA","30/1","100%","176.1","154","2","48.5","50.5","50","50","17.5","43.1","16-01-23/11:00:15 "
"4 saat sonra ","RA","30/1","100%","176","154","2","49.5","50","50","50.1","18.6","45.3","16-01-23/13:00:15 "
"6 saat sonra ","RA","30/1","100%","175.8","154","3","49.1","50.2","50","50.1","18.6","48.4","16-01-23/15:00:15 "
"8 saat sonra ","RA","30/1","100%","175.8","155","3","48.7","50.4","50","50.1","18.5","48.8","16-01-23/17:00:15 "
"24 saat sonra ","RA","30/1","100%","175.3","155","4","49.4","50.2","49.9","50.2","17.3","57.5","17-01-23/09:00:15 "
"26 saat sonra ","RA","30/1","100%","175.2","156","4","48.9","50","49.9","50.2","17.6","59.8","17-01-23/11:00:15 "
"28 saat sonra ","RA","30/1","100%","175.2","156","4","48.5","50.7","50","50.2","17.5","62.3","17-01-23/13:00:15 "
"30 saat sonra ","RA","30/1","100%","175.2","156","4","49.2","50.1","50","50.2","17.9","57.2","17-01-23/15:00:15 "
"32 saat sonra ","RA","30/1","100%","175.2","157","4","49","50.5","50","50.2","17.5","58.6","17-01-23/17:00:15 "
"48 saat sonra ","RA","30/1","100%","174.7","157","4","48.4","50.7","50","50.2","17.7","58.6","18-01-23/09:00:15 "
"50 saat sonra ","RA","30/1","100%","174.5","157","4","49.3","50.2","50","50.2","18.4","58.9","18-01-23/11:00:15 "
"52 saat sonra ","RA","30/1","100%","174.4","157","4","48.7","50.3","50","50.2","19.4","54.2","18-01-23/13:00:15 "
"54 saat sonra ","RA","30/1","100%","174.4","158","4","48.9","50.2","50","50.2","20.0","51.6","18-01-23/15:00:15 "
"56 saat sonra ","RA","30/1","100%","174.4","158","4","49.1","50.1","50","50.2","19.4","53.5","18-01-23/17:00:15 "
"72 saat sonra ","RA","30/1","100%","174.3","159","4","48.8","50.4","50","50.2","18.3","52.1","19-01-23/09:00:15 "
"Başlangıç","RA","30/1","100%","180","155","","47.7","49.8","50","50","19.1","40.4","12-04-23/09:00:03 "
"2 saat sonra ","RA","30/1","100%","180","158","","47.5","49.6","50","50","19.6","41.1","12-04-23/11:00:03 "
"4 saat sonra ","RA","30/1","100%","181.3","153","","48.5","49.7","50.5","49.3","18.6","47.1","12-04-23/13:00:03 "
"6 saat sonra ","RA","30/1","100%","181.5","157","","48","49.5","50","49.5","20.5","42.8","12-04-23/15:00:03 "
"8 saat sonra ","RA","30/1","100%","180.5","155","","47.8","50.2","50.1","49.5","20.6","39.3","12-04-23/17:00:03 "
"24 saat sonra ","RA","30/1","100%","182","153","","49","49.9","50.6","49.2","20.1","38.5","13-04-23/09:00:03 "
"26 saat sonra ","RA","30/1","100%","182","152","","48.2","50.1","50.5","49.5","20.4","42.0","13-04-23/11:00:03 "
"28 saat sonra ","RA","30/1","100%","182","155","","48.3","50.2","50.7","49.3","20.6","39.3","13-04-23/13:00:03 "
"30 saat sonra ","RA","30/1","100%","181.5","156","","48.6","49.6","50.6","49.2","21.0","37.8","13-04-23/15:00:03 "
"32 saat sonra ","RA","30/1","100%","181.5","156","","47.5","50","50.6","49.2","21.0","31.8","13-04-23/17:00:03 "
"48 saat sonra ","RA","30/1","100%","182","155","","49.4","50","50.7","49.3","20.4","37.3","14-04-23/09:00:03 "
"50 saat sonra ","RA","30/1","100%","182","156","","48.2","50.3","50.5","49.3","21.2","37.5","14-04-23/11:00:03 "
"52 saat sonra ","RA","30/1","100%","182","157","","49","50","51","49.1","21.5","37.6","14-04-23/13:00:03 "
"54 saat sonra ","RA","30/1","100%","182","158","","48","50","51","49","22.1","38.6","14-04-23/15:00:03 "
"56 saat sonra ","RA","30/1","100%","182","160","","49","50","51","49","22.4","42.1","14-04-23/17:00:03 "
"72 saat sonra ","RA","30/1","100%","","","","","","","","","",""
"Başlangıç","AK","30/1","100%","184.5","162","","47.7","50.7","50","50","20.6","50.9","17-04-23/09:00:03 "
"2 saat sonra ","AK","30/1","100%","184.5","162","","48.2","50.5","50","50","21.2","50.5","17-04-23/11:00:03 "
"4 saat sonra ","AK","30/1","100%","184.5","165","","48.5","50.7","50","50","21.4","46.5","17-04-23/13:00:03 "
"6 saat sonra ","AK","30/1","100%","184.5","164","","47.7","50.5","50","50","21.8","41.3","17-04-23/15:00:03 "
"8 saat sonra ","AK","30/1","100%","184.5","162","","47.7","50.7","50","50","22.2","41.6","17-04-23/17:00:03 "
"24 saat sonra ","AK","30/1","100%","184","162","","48.1","50.3","50.7","50.3","21.4","40.9","18-04-23/09:00:03 "
"26 saat sonra ","AK","30/1","100%","186","158","","48","50.7","50.8","49.8","21.9","42.3","18-04-23/11:00:03 "
"28 saat sonra ","AK","30/1","100%","186","160","13","48.8","50.7","51","49.8","22.3","45.4","18-04-23/13:00:03 "
"30 saat sonra ","AK","30/1","100%","185.5","163","12","48.4","50","50.8","50.2","22.5","48.1","18-04-23/15:00:03 "
"32 saat sonra ","AK","30/1","100%","185.5","157","5","47.8","50.6","50.8","50.2","22.6","42.6","18-04-23/17:00:03 "
"48 saat sonra ","AK","30/1","100%","185","163","15","48.8","50.9","51.1","50.1","21.4","41.8","19-04-23/09:00:03 "
"50 saat sonra ","AK","30/1","100%","185","164","15","49.3","50.7","51.2","50.2","21.7","44.9","19-04-23/11:00:03 "
"52 saat sonra ","AK","30/1","100%","186","164","14","49.2","50.6","51.5","50","21.6","45.9","19-04-23/13:00:03 "
"54 saat sonra ","AK","30/1","100%","186","163","14","49.5","51.5","51.5","50","21.9","45.0","19-04-23/15:00:03 "
"56 saat sonra ","AK","30/1","100%","185.5","153","14","51","51.5","51.5","50","23.1","44.0","19-04-23/17:00:07 "
"72 saat sonra ","AK","30/1","100%","","","","","","","","","",""
"Başlangıç","AK","30/1","100%","188","154","12","48.7","50","50","50","22.0","44.2","10-05-23/09:00:07 "
"2 saat sonra ","AK","30/1","100%","188","156","12","48.6","49.7","50","50","22.4","46.3","10-05-23/11:00:07 "
"4 saat sonra ","AK","30/1","100%","188","160","12","49.1","50.1","50","50","22.6","46.1","10-05-23/13:00:07 "
"6 saat sonra ","AK","30/1","100%","188","156","12","49","49.8","50","50","22.8","47.3","10-05-23/15:00:07 "
"8 saat sonra ","AK","30/1","100%","188","161","12","48.4","50.3","50","50","22.9","47.2","10-05-23/17:00:07 "
"24 saat sonra ","AK","30/1","100%","188.5","158","15","48.9","50.3","49.7","49.5","20.8","47.1","11-05-23/09:00:07 "
"26 saat sonra ","AK","30/1","100%","186.5","162","20","48.8","50.1","49.8","49.2","21.3","49.2","11-05-23/11:00:07 "
"28 saat sonra ","AK","30/1","100%","186.5","158","20","48.7","49.8","50.1","48.8","21.9","48.8","11-05-23/13:00:07 "
"30 saat sonra ","AK","30/1","100%","187","161","22","48.4","50","50.1","49.1","21.9","51.6","11-05-23/15:00:07 "
"32 saat sonra ","AK","30/1","100%","186","163","22","49","50","49.7","49.4","22.2","49.1","11-05-23/17:00:07 "
"48 saat sonra ","AK","30/1","100%","185.5","155","22","49.5","50","49.2","49.1","21.4","48.2","12-05-23/09:00:07 "
"50 saat sonra ","AK","30/1","100%","185.5","158","22","49","50.3","49.8","49","21.0","49.4","12-05-23/11:00:07 "
"52 saat sonra ","AK","30/1","100%","185.5","160","22","49.5","49.8","49.6","49","21.8","48.6","12-05-23/13:00:07 "
"54 saat sonra ","AK","30/1","100%","185.5","160","22","49.4","49.7","49.5","49","21.3","49.8","12-05-23/15:00:07 "
"56 saat sonra ","AK","30/1","100%","185.5","160","22","49.5","50","49.5","49","21.1","51.0","12-05-23/17:00:07 "
"72 saat sonra ","AK","30/1","100%","","","","","","","","","",""
"Başlangıç","GÖK","30/1","95%","","","","","","","","25.0","33.6","03-10-22/09:00:18 "
"2 saat sonra ","GÖK","30/1","95%","184.1","187","13","49.9","49.4","50","50.1","25.0","30.4","03-10-22/11:00:18 "
"4 saat sonra ","GÖK","30/1","95%","184.4","188","12","49.5","50","50.3","50.1","25.1","25.1","03-10-22/13:00:18 "
"6 saat sonra ","GÖK","30/1","95%","184.8","186","13","50","49","50.3","50.2","25.9","26.4","03-10-22/15:00:18 "
"8 saat sonra ","GÖK","30/1","95%","185.1","185","13","50.1","49.5","50.5","50.3","26.1","32.4","03-10-22/17:00:18 "
"24 saat sonra ","GÖK","30/1","95%","184.1","186","16","50.1","49.1","50","50.2","25.9","38.3","04-10-22/09:00:00 "
"26 saat sonra ","GÖK","30/1","95%","184.1","184","15","50","49.6","50.1","50.1","24.0","36.2","04-10-22/11:00:00 "
"28 saat sonra ","GÖK","30/1","95%","184.3","189","16","50","49.1","50","50.1","24.3","33.9","04-10-22/13:00:00 "
"30 saat sonra ","GÖK","30/1","95%","184.4","186","16","50.2","49","50.2","50.3","25.1","31.0","04-10-22/15:00:00 "
"32 saat sonra ","GÖK","30/1","95%","184.4","189","16","50","49.5","50.3","50.3","24.6","27.0","04-10-22/17:00:00 "
"48 saat sonra ","GÖK","30/1","95%","184.4","185","16","50.5","49.5","50.2","50.3","22.8","33.8","05-10-22/09:00:00 "
"50 saat sonra ","GÖK","30/1","95%","184.4","184","15","50","49.8","50.3","50.3","23.3","32.2","05-10-22/11:00:00 "
"52 saat sonra ","GÖK","30/1","95%","184.5","185","15","50.1","50","50.3","50.4","23.6","29.3","05-10-22/13:00:00 "
"54 saat sonra ","GÖK","30/1","95%","184.2","186","15","50.5","49.5","50.1","50.4","24.1","28.4","05-10-22/15:00:00 "
"56 saat sonra ","GÖK","30/1","95%","184.4","185","15","49.8","49.8","50.2","50.4","24.6","27.9","05-10-22/17:00:00 "
"72 saat sonra ","GÖK","30/1","95%","184.2","189","15","50.1","49.5","50","50.4","23.8","33.8","06-10-22/09:00:00 "
"Başlangıç","GÖK","30/1","95%","190.4","179","2","50","50","50","50","22.9","41.2","10-10-22/09:00:53 "
"2 saat sonra ","GÖK","30/1","95%","190.6","176","2","50.1","49.5","50.2","49.4","23.3","41.1","10-10-22/11:00:53 "
"4 saat sonra ","GÖK","30/1","95%","190.7","175","3","49.5","50","50.4","49","23.6","41.2","10-10-22/13:00:53 "
"6 saat sonra ","GÖK","30/1","95%","190.9","178","3","49.5","50","50.5","48.3","24.3","40.6","10-10-22/15:00:53 "
"8 saat sonra ","GÖK","30/1","95%","190.9","175","3","50","49.6","50.5","48","24.6","39.1","10-10-22/17:00:53 "
"24 saat sonra ","GÖK","30/1","95%","190.9","189","3","49.5","50","50.4","48.1","22.8","42.5","11-10-22/09:01:26 "
"26 saat sonra ","GÖK","30/1","95%","190.9","183","4","49.3","50.1","50.3","48.1","23.3","44.3","11-10-22/11:01:26 "
"28 saat sonra ","GÖK","30/1","95%","190.9","185","5","49.7","49.5","50.3","48.3","23.9","43.1","11-10-22/13:01:26 "
"30 saat sonra ","GÖK","30/1","95%","190.9","187","7","49.5","49.5","50.2","48.5","24.3","40.5","11-10-22/15:01:26 "
"32 saat sonra ","GÖK","30/1","95%","190.9","183","8","49.4","49.6","50.2","48.6","24.4","42.6","11-10-22/17:01:26 "
"48 saat sonra ","GÖK","30/1","95%","190.9","186","8","48.9","49.9","50.2","48.5","23.8","45.4","12-10-22/09:01:26 "
"50 saat sonra ","GÖK","30/1","95%","191.2","184","8","49","49.3","50.1","48.1","23.0","55.3","12-10-22/11:01:26 "
"52 saat sonra ","GÖK","30/1","95%","191.4","187","8","49.3","49.6","50.1","48","22.7","49.9","12-10-22/13:01:26 "
"54 saat sonra ","GÖK","30/1","95%","191.5","192","7","50","49.8","50.1","47.9","24.1","47.8","12-10-22/15:01:26 "
"56 saat sonra ","GÖK","30/1","95%","191.6","187","7","49.5","49.6","50.1","47.8","23.3","49.4","12-10-22/17:01:26 "
"72 saat sonra ","GÖK","30/1","95%","191.8","200","7","49.8","49.8","50.2","47.8","23.3","46.5","13-10-22/09:01:26 "
"Başlangıç","GÖK","30/1","95%","184","185","4","50","49.8","50","50","21.1","48.8","17-10-22/09:01:26 "
