"SÜRE","TEDARİKÇİ","NO","KARIŞIM ORANI","EN","PARÇA GRAMAJ","PARÇA NEMİ (%)","ISI ÇEKME EN","ISI ÇEKME BOY","GENEL EN","GENEL  BOY","ORTAM SICAKLIK","ORTAM NEM","ZAMAN"
"52 saat sonra ","GÖK","30/1","100%","191.8","155","5","49.8","49.3","50.6","49","20.8","31.3","09-11-22/13:00:03 "
"54 saat sonra ","GÖK","30/1","100%","191.8","154","5","50.5","48.5","50.6","48.9","21.7","30.0","09-11-22/15:00:03 "
"56 saat sonra ","GÖK","30/1","100%","191.9","160","5","50.9","48.4","50.6","48.9","21.8","32.5","09-11-22/17:00:03 "
"72 saat sonra ","GÖK","30/1","100%","192","159","5","49.4","49","50.6","48.9","19.9","34.8","10-11-22/09:00:03 "
"Başlangıç","GÖK","30/1","100%","185.5","160","6","50.8","49.8","50","50","22.2","47.4","22-11-22/09:00:51 "
"2 saat sonra ","GÖK","30/1","100%","185.7","152","8","50.4","50.5","50.2","49.8","22.6","48.9","22-11-22/11:00:51 "
"4 saat sonra ","GÖK","30/1","100%","185.9","163","9","51.9","49.9","50.3","49.7","22.9","46.4","22-11-22/13:00:51 "
"6 saat sonra ","GÖK","30/1","100%","186.1","164","9","50.8","49.9","50.1","49.7","23.3","44.1","22-11-22/15:00:51 "
"8 saat sonra ","GÖK","30/1","100%","186.5","157","9","50.5","50.1","50.1","49.6","23.3","40.0","22-11-22/17:00:51 "
"24 saat sonra ","GÖK","30/1","100%","188.2","155","10","51.1","50.2","50.4","49.2","22.4","42.0","23-11-22/09:00:51 "
"26 saat sonra ","GÖK","30/1","100%","188.6","166","10","51.4","49.8","50.5","49.2","22.9","46.0","23-11-22/11:00:51 "
"28 saat sonra ","GÖK","30/1","100%","188.8","162","11","50.4","50.6","50.5","49.2","21.6","55.5","23-11-22/13:00:51 "
"30 saat sonra ","GÖK","30/1","100%","188.9","163","11","50.9","49.7","50.5","49.1","22.7","50.7","23-11-22/15:00:51 "
"32 saat sonra ","GÖK","30/1","100%","189","157","11","50.3","50.4","50.6","49.1","22.9","56.3","23-11-22/17:00:51 "
"48 saat sonra ","GÖK","30/1","100%","189.3","162","12","51.7","49.3","50.6","48.9","22.7","48.8","24-11-22/09:00:51 "
"50 saat sonra ","GÖK","30/1","100%","189.5","161","12","51.4","49.6","50.7","48.9","22.8","49.4","24-11-22/11:00:51 "
"52 saat sonra ","GÖK","30/1","100%","189.6","163","12","50.8","50.2","50.7","48.9","22.8","48.4","24-11-22/13:00:51 "
"54 saat sonra ","GÖK","30/1","100%","189.8","161","12","50.5","50.1","50.7","48.9","22.9","49.3","24-11-22/15:00:51 "
"56 saat sonra ","GÖK","30/1","100%","190.1","164","12","50.7","50.2","50.7","48.8","22.9","49.4","24-11-22/17:00:51 "
"72 saat sonra ","GÖK","30/1","100%","191","165","14","51.1","49.9","51.1","48.8","21.0","48.5","25-11-22/09:00:51 "
"Başlangıç","GÖK","30/1","100%","187.8","158","8","50.5","50.5","50","50","19.5","45.4","28-11-22/09:00:13 "
"2 saat sonra ","GÖK","30/1","100%","188","156","10","51","49.6","50.1","49.9","19.6","47.3","28-11-22/11:00:13 "
"4 saat sonra ","GÖK","30/1","100%","188.3","162","11","50","50.6","50.1","49.8","22.2","46.5","28-11-22/13:00:13 "
"6 saat sonra ","GÖK","30/1","100%","188.4","160","12","50.4","50.3","50.2","49.8","19.9","52.6","28-11-22/15:00:13 "
"8 saat sonra ","GÖK","30/1","100%","188.7","163","14","50.2","50.2","50.2","49.8","19.9","52.7","28-11-22/17:00:13 "
"24 saat sonra ","GÖK","30/1","100%","189.5","157","18","50.8","50.4","50.3","49.8","19.4","52.7","29-11-22/09:00:13 "
"26 saat sonra ","GÖK","30/1","100%","189.7","162","18","51.4","49.5","50.3","49.8","19.4","55.3","29-11-22/11:00:13 "
"28 saat sonra ","GÖK","30/1","100%","189.8","163","18","50.3","49.9","50.5","49.8","18.8","53.1","29-11-22/13:00:13 "
"30 saat sonra ","GÖK","30/1","100%","189.9","162","19","50.5","50.4","50.5","49.8","19.5","50.3","29-11-22/15:00:13 "
"32 saat sonra ","GÖK","30/1","100%","190.1","158","19","50.6","50.6","50.5","49.8","19.2","52.3","29-11-22/17:00:13 "
"48 saat sonra ","GÖK","30/1","100%","190.4","158","21","50.2","49.7","50.7","49.8","18.6","50.2","30-11-22/09:00:13 "
"50 saat sonra ","GÖK","30/1","100%","190.4","159","21","50.1","50.2","50.8","49.9","19.3","52.3","30-11-22/11:00:13 "
